Transaction ID,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Year,Month
1,CUST001,Male,34,Beauty,3,50,150,2023,November
2,CUST002,Female,26,Clothing,2,500,1000,2023,February
3,CUST003,Male,50,Electronics,1,30,30,2023,January
4,CUST004,Male,37,Clothing,1,500,500,2023,May
5,CUST005,Male,30,Beauty,2,50,100,2023,May
6,CUST006,Female,45,Beauty,1,30,30,2023,April
7,CUST007,Male,46,Clothing,2,25,50,2023,March
8,CUST008,Male,30,Electronics,4,25,100,2023,February
9,CUST009,Male,63,Electronics,2,300,600,2023,December
10,CUST010,Female,52,Clothing,4,50,200,2023,October
11,CUST011,Male,23,Clothing,2,50,100,2023,February
12,CUST012,Male,35,Beauty,3,25,75,2023,October
13,CUST013,Male,22,Electronics,3,500,1500,2023,August
14,CUST014,Male,64,Clothing,4,30,120,2023,January
15,CUST015,Female,42,Electronics,4,500,2000,2023,January
16,CUST016,Male,19,Clothing,3,500,1500,2023,February
17,CUST017,Female,27,Clothing,4,25,100,2023,April
18,CUST018,Female,47,Electronics,2,25,50,2023,April
19,CUST019,Female,62,Clothing,2,25,50,2023,September
20,CUST020,Male,22,Clothing,3,300,900,2023,November
21,CUST021,Female,50,Beauty,1,500,500,2023,January
22,CUST022,Male,18,Clothing,2,50,100,2023,October
23,CUST023,Female,35,Clothing,4,30,120,2023,April
24,CUST024,Female,49,Clothing,1,300,300,2023,November
25,CUST025,Female,64,Beauty,1,50,50,2023,December
26,CUST026,Female,28,Electronics,2,500,1000,2023,October
27,CUST027,Female,38,Beauty,2,25,50,2023,August
28,CUST028,Female,43,Beauty,1,500,500,2023,April
29,CUST029,Female,42,Electronics,1,30,30,2023,August
30,CUST030,Female,39,Beauty,3,300,900,2023,October
31,CUST031,Male,44,Electronics,4,300,1200,2023,May
32,CUST032,Male,30,Beauty,3,30,90,2023,January
33,CUST033,Female,50,Electronics,2,50,100,2023,March
34,CUST034,Female,51,Clothing,3,50,150,2023,December
35,CUST035,Female,58,Beauty,3,300,900,2023,August
36,CUST036,Male,52,Beauty,3,300,900,2023,June
37,CUST037,Female,18,Beauty,3,25,75,2023,May
38,CUST038,Male,38,Beauty,4,50,200,2023,March
39,CUST039,Male,23,Clothing,4,30,120,2023,April
40,CUST040,Male,45,Beauty,1,50,50,2023,June
41,CUST041,Male,34,Clothing,2,25,50,2023,February
42,CUST042,Male,22,Clothing,3,300,900,2023,February
43,CUST043,Female,48,Clothing,1,300,300,2023,July
44,CUST044,Female,22,Clothing,1,25,25,2023,February
45,CUST045,Female,55,Electronics,1,30,30,2023,July
46,CUST046,Female,20,Electronics,4,300,1200,2023,June
47,CUST047,Female,40,Beauty,3,500,1500,2023,November
48,CUST048,Male,54,Electronics,3,300,900,2023,May
49,CUST049,Female,54,Electronics,2,500,1000,2023,January
50,CUST050,Female,27,Beauty,3,25,75,2023,August
51,CUST051,Male,27,Beauty,3,25,75,2023,October
52,CUST052,Female,36,Beauty,1,300,300,2023,March
53,CUST053,Male,34,Electronics,2,50,100,2023,July
54,CUST054,Female,38,Electronics,3,500,1500,2023,February
55,CUST055,Male,31,Beauty,4,30,120,2023,October
56,CUST056,Female,26,Clothing,3,300,900,2023,May
57,CUST057,Female,63,Beauty,1,30,30,2023,November
58,CUST058,Male,18,Clothing,4,300,1200,2023,November
59,CUST059,Male,62,Clothing,1,50,50,2023,July
60,CUST060,Male,30,Beauty,3,50,150,2023,October
61,CUST061,Male,21,Beauty,4,50,200,2023,April
62,CUST062,Male,18,Beauty,2,50,100,2023,December
63,CUST063,Male,57,Electronics,2,25,50,2023,February
64,CUST064,Male,49,Clothing,4,25,100,2023,January
65,CUST065,Male,51,Electronics,4,500,2000,2023,December
66,CUST066,Female,45,Electronics,1,30,30,2023,April
67,CUST067,Female,48,Beauty,4,300,1200,2023,May
68,CUST068,Male,25,Electronics,1,300,300,2023,February
69,CUST069,Female,56,Beauty,3,25,75,2023,April
70,CUST070,Female,43,Clothing,1,300,300,2023,February
71,CUST071,Female,51,Beauty,4,25,100,2023,July
72,CUST072,Female,20,Electronics,4,500,2000,2023,May
73,CUST073,Male,29,Electronics,3,30,90,2023,August
74,CUST074,Female,18,Beauty,4,500,2000,2023,November
75,CUST075,Male,61,Beauty,4,50,200,2023,July
76,CUST076,Female,22,Electronics,2,50,100,2023,March
77,CUST077,Female,47,Clothing,2,50,100,2023,July
78,CUST078,Female,47,Clothing,3,500,1500,2023,July
79,CUST079,Male,34,Beauty,1,300,300,2023,April
80,CUST080,Female,64,Clothing,2,30,60,2023,December
81,CUST081,Male,40,Electronics,1,50,50,2023,May
82,CUST082,Female,32,Beauty,4,50,200,2023,December
83,CUST083,Male,54,Electronics,2,50,100,2023,December
